model-id,language,repository,task,score,coverage,files-executed,files-executed-maximum-reachable,generate-tests-for-file-character-count,processing-time,response-character-count,response-no-error,response-no-excess,response-with-code,tests-passing
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests-symflower-fix,31,0,0,23,6418,98645,9636,22,0,9,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests-symflower-fix,88,60,1,23,10836,128487,14005,21,1,5,0
openrouter/01-ai/yi-34b-chat,java,java/light,write-tests-symflower-fix,95,60,1,23,13106,175664,16628,20,3,11,0
openrouter/01-ai/yi-34b-chat,java,java/mistakes,code-repair,7,0,0,5,1833,28817,3091,5,0,2,0
openrouter/01-ai/yi-34b-chat,java,java/mistakes,code-repair,8,0,0,5,1816,56493,5334,5,0,3,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests,1,0,0,1,106,1758,107,1,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests,1,0,0,1,382,3228,383,1,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests,14,10,1,1,366,4340,380,1,1,1,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests,2,0,0,1,488,7032,646,1,0,1,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests-symflower-fix,1,0,0,1,106,1758,107,1,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests-symflower-fix,1,0,0,1,382,3228,383,1,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests-symflower-fix,14,10,1,1,366,4340,380,1,1,1,0
openrouter/01-ai/yi-34b-chat,java,java/plain,write-tests-symflower-fix,2,0,0,1,488,7032,646,1,0,1,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile,5,0,0,5,2340,27645,2346,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile,5,0,0,5,6814,58660,6819,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile,5,0,0,5,854,13226,859,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile,7,0,0,5,576,22247,2107,5,0,2,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile,8,0,0,5,4337,46013,5535,5,0,3,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile-symflower-fix,5,0,0,5,2340,27645,2346,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile-symflower-fix,5,0,0,5,6814,58660,6819,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile-symflower-fix,5,0,0,5,854,13226,859,5,0,0,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile-symflower-fix,7,0,0,5,576,22247,2107,5,0,2,0
openrouter/01-ai/yi-34b-chat,java,java/transpile,transpile-symflower-fix,8,0,0,5,4337,46013,5535,5,0,3,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests,1,0,0,1,110,754,111,1,0,0,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests,1,0,0,1,126,984,129,1,0,0,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests,2,0,0,1,145,4118,1323,1,0,1,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests,2,0,0,1,310,10949,3004,1,0,1,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests,2,0,0,1,49,3058,824,1,0,1,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests-symflower-fix,1,0,0,1,110,754,111,1,0,0,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests-symflower-fix,1,0,0,1,126,984,129,1,0,0,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,145,4118,1323,1,0,1,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,310,10949,3004,1,0,1,0
openrouter/01-ai/yi-6b,golang,golang/plain,write-tests-symflower-fix,3,0,1,1,49,3312,824,1,0,1,0
openrouter/01-ai/yi-6b,java,java/light,write-tests,39,0,0,23,19718,173972,42590,22,2,15,0
openrouter/01-ai/yi-6b,java,java/light,write-tests,39,0,1,23,16864,291378,75182,20,1,17,0
openrouter/01-ai/yi-6b,java,java/light,write-tests,41,0,0,23,30584,367056,92533,22,3,16,0
openrouter/01-ai/yi-6b,java,java/light,write-tests,42,0,0,23,20344,283018,67710,23,1,18,0
openrouter/01-ai/yi-6b,java,java/light,write-tests,97,60,1,23,26034,272297,71290,20,2,14,0
openrouter/01-ai/yi-6b,java,java/light,write-tests-symflower-fix,39,0,0,23,19718,173972,42590,22,2,15,0
openrouter/01-ai/yi-6b,java,java/light,write-tests-symflower-fix,39,0,1,23,16864,291378,75182,20,1,17,0
openrouter/01-ai/yi-6b,java,java/light,write-tests-symflower-fix,41,0,0,23,30584,367056,92533,22,3,16,0
openrouter/01-ai/yi-6b,java,java/light,write-tests-symflower-fix,42,0,0,23,20344,283018,67710,23,1,18,0
openrouter/01-ai/yi-6b,java,java/light,write-tests-symflower-fix,97,60,1,23,26034,272297,71290,20,2,14,0
openrouter/01-ai/yi-6b,java,java/mistakes,code-repair,89,80,1,5,1194,59882,15062,5,0,3,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests,2,0,0,1,1522,11874,2962,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests,2,0,0,1,44,41677,10693,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests,2,0,0,1,6020,23822,6049,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests,3,0,0,1,40,635,53,1,1,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests,4,0,1,1,414,2299,428,1,1,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests-symflower-fix,2,0,0,1,1522,11874,2962,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests-symflower-fix,2,0,0,1,44,41677,10693,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests-symflower-fix,2,0,0,1,6020,23822,6049,1,0,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests-symflower-fix,3,0,0,1,40,635,53,1,1,1,0
openrouter/01-ai/yi-6b,java,java/plain,write-tests-symflower-fix,4,0,1,1,414,2299,428,1,1,1,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile,10,0,0,5,2012,39713,10610,5,0,5,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile,6,0,0,5,4055,21961,5968,5,0,1,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile,6,0,0,5,987,9220,1482,4,0,2,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile,7,0,0,5,14774,69748,20202,5,0,2,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile,7,0,0,5,4396,91620,20842,4,0,3,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile-symflower-fix,10,0,0,5,2012,39713,10610,5,0,5,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile-symflower-fix,6,0,0,5,4055,21961,5968,5,0,1,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile-symflower-fix,6,0,0,5,987,9220,1482,4,0,2,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile-symflower-fix,7,0,0,5,14774,69748,20202,5,0,2,0
openrouter/01-ai/yi-6b,java,java/transpile,transpile-symflower-fix,7,0,0,5,4396,91620,20842,4,0,3,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,golang,golang/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/01-ai/yi-large,java,java/plain,write-tests-symflower-fix,0,0,0,1,0,0,0,0,0,0,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests,3,0,0,1,162,1498,172,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests,3,0,0,1,215,1633,225,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests,3,0,0,1,78,1314,88,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests,3,0,0,1,84,1298,95,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests,3,0,0,1,99,1393,109,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,162,1498,172,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,215,1633,225,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,78,1314,88,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,84,1298,95,1,1,1,0
openrouter/ai21/jamba-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,99,1393,109,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests,1058,990,8,23,22090,109671,22489,23,18,19,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests,1148,1070,12,23,23031,118741,24255,23,20,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests,1370,1290,13,23,28137,135561,29199,23,21,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests,1533,1450,15,23,20634,107075,21162,23,22,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests,845,770,8,23,23817,121743,24504,23,21,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests-symflower-fix,1058,990,8,23,22090,109671,22489,23,18,19,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests-symflower-fix,1148,1070,12,23,23031,118741,24255,23,20,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests-symflower-fix,1370,1290,13,23,28137,135561,29199,23,21,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests-symflower-fix,1533,1450,15,23,20634,107075,21162,23,22,23,0
openrouter/ai21/jamba-instruct,java,java/light,write-tests-symflower-fix,845,770,8,23,23817,121743,24504,23,21,23,0
openrouter/ai21/jamba-instruct,java,java/mistakes,code-repair,346,330,4,5,1070,12625,2264,5,2,5,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests,14,10,1,1,217,1793,229,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests,14,10,1,1,223,1882,235,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests,14,10,1,1,312,2133,324,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests,14,10,1,1,383,2265,395,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests,3,0,0,1,642,3019,654,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests-symflower-fix,14,10,1,1,217,1793,229,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests-symflower-fix,14,10,1,1,223,1882,235,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests-symflower-fix,14,10,1,1,312,2133,324,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests-symflower-fix,14,10,1,1,383,2265,395,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/plain,write-tests-symflower-fix,3,0,0,1,642,3019,654,1,1,1,0
openrouter/ai21/jamba-instruct,java,java/transpile,transpile,144,0,3,5,1786,11365,1823,5,3,3,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile,147,0,3,5,2562,16580,2677,5,4,5,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile,148,0,3,5,1692,13059,1752,5,5,5,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile,178,0,4,5,2777,17591,2901,5,4,5,160
openrouter/ai21/jamba-instruct,java,java/transpile,transpile,179,0,4,5,3042,16487,3102,5,5,5,160
openrouter/ai21/jamba-instruct,java,java/transpile,transpile-symflower-fix,144,0,3,5,1786,11365,1823,5,3,3,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile-symflower-fix,147,0,3,5,2562,16580,2677,5,4,5,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile-symflower-fix,148,0,3,5,1692,13059,1752,5,5,5,130
openrouter/ai21/jamba-instruct,java,java/transpile,transpile-symflower-fix,178,0,4,5,2777,17591,2901,5,4,5,160
openrouter/ai21/jamba-instruct,java,java/transpile,transpile-symflower-fix,179,0,4,5,3042,16487,3102,5,5,5,160
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests,2,0,0,1,146,2870,507,1,0,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests,2,0,0,1,243,2486,407,1,0,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests,3,0,0,1,268,1945,278,1,1,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests,3,0,0,1,361,2445,371,1,1,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests,3,0,0,1,412,2400,422,1,1,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,146,2870,507,1,0,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,243,2486,407,1,0,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,268,1945,278,1,1,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,361,2445,371,1,1,1,0
openrouter/allenai/olmo-7b-instruct,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,412,2400,422,1,1,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests,2,0,0,1,162,17787,5657,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests,2,0,0,1,241,6971,1892,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests,2,0,0,1,263,2697,391,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests,2,0,0,1,263,3966,846,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests,2,0,0,1,912,4655,1255,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests-symflower-fix,2,0,0,1,162,17787,5657,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests-symflower-fix,2,0,0,1,241,6971,1892,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests-symflower-fix,2,0,0,1,263,2697,391,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests-symflower-fix,2,0,0,1,263,3966,846,1,0,1,0
openrouter/allenai/olmo-7b-instruct,java,java/plain,write-tests-symflower-fix,2,0,0,1,912,4655,1255,1,0,1,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests,35,0,0,23,15036,449468,15192,23,6,6,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests,41,0,0,23,15305,404751,15483,23,9,9,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests,44,0,0,23,14511,370981,15647,23,9,12,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests,62,20,1,23,15130,436920,17698,23,7,11,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests,63,20,1,23,13859,444090,15632,23,8,11,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests-symflower-fix,114,70,3,23,15130,437811,17698,23,7,11,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests-symflower-fix,116,70,2,23,14511,371813,15647,23,9,12,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests-symflower-fix,123,80,2,23,15305,405916,15483,23,9,9,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests-symflower-fix,35,0,0,23,15036,449468,15192,23,6,6,0
openrouter/alpindale/goliath-120b,golang,golang/light,write-tests-symflower-fix,84,40,2,23,13859,444256,15632,23,8,11,0
openrouter/alpindale/goliath-120b,golang,golang/mistakes,code-repair,119,100,4,5,864,23966,927,5,5,5,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests,13,10,1,1,260,6049,293,1,0,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests,14,10,1,1,221,4954,233,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests,14,10,1,1,74,4366,85,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests,2,0,0,1,80,6253,435,1,0,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests,3,0,0,1,86,2720,98,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests-symflower-fix,13,10,1,1,260,6049,293,1,0,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests-symflower-fix,14,10,1,1,221,4954,233,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests-symflower-fix,14,10,1,1,74,4366,85,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests-symflower-fix,2,0,0,1,80,6253,435,1,0,1,0
openrouter/alpindale/goliath-120b,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,86,2720,98,1,1,1,0
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile,13,0,0,5,2337,63098,2387,5,4,4,0
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile,133,0,2,5,2751,69343,2792,5,3,3,120
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile,136,0,2,5,1907,56819,2195,5,4,5,120
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile,74,0,1,5,2001,55806,2052,5,4,4,60
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile,74,0,1,5,2360,59517,2406,5,4,4,60
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile-symflower-fix,13,0,0,5,2337,63098,2387,5,4,4,0
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile-symflower-fix,133,0,2,5,2751,69343,2792,5,3,3,120
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile-symflower-fix,136,0,2,5,1907,56819,2195,5,4,5,120
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile-symflower-fix,74,0,1,5,2001,55806,2052,5,4,4,60
openrouter/alpindale/goliath-120b,golang,golang/transpile,transpile-symflower-fix,74,0,1,5,2360,59517,2406,5,4,4,60
openrouter/alpindale/goliath-120b,java,java/plain,write-tests,2,0,0,1,174,11641,609,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests,2,0,0,1,202,11223,655,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests,2,0,0,1,444,15401,1060,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests,3,0,0,1,475,8345,496,1,1,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests,3,0,0,1,552,9045,565,1,1,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests-symflower-fix,2,0,0,1,174,11641,609,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests-symflower-fix,2,0,0,1,202,11223,655,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests-symflower-fix,2,0,0,1,444,15401,1060,1,0,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests-symflower-fix,3,0,0,1,475,8345,496,1,1,1,0
openrouter/alpindale/goliath-120b,java,java/plain,write-tests-symflower-fix,3,0,0,1,552,9045,565,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests,3,0,0,1,108,2477,122,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests,3,0,0,1,142,2814,156,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests,3,0,0,1,161,3014,175,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests,3,0,0,1,166,3537,180,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests,3,0,0,1,313,6687,327,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests-symflower-fix,14,10,1,1,108,2977,122,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,142,2814,156,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,161,3014,175,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,166,3537,180,1,1,1,0
openrouter/alpindale/magnum-72b,golang,golang/plain,write-tests-symflower-fix,3,0,0,1,313,6687,327,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests,1099,1020,10,23,23091,399381,23369,23,23,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests,1199,1120,10,23,30320,533188,30593,23,23,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests,1238,1160,10,23,22812,360614,23380,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests,1380,1300,12,23,24637,416042,25356,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests,1721,1640,13,23,23742,417764,24367,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests-symflower-fix,1099,1020,10,23,23091,399381,23369,23,23,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests-symflower-fix,1199,1120,10,23,30320,533188,30593,23,23,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests-symflower-fix,1238,1160,10,23,22812,360614,23380,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests-symflower-fix,1380,1300,12,23,24637,416042,25356,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/light,write-tests-symflower-fix,1721,1640,13,23,23742,417764,24367,23,22,23,0
openrouter/alpindale/magnum-72b,java,java/mistakes,code-repair,400,380,5,5,1116,29420,1176,5,5,5,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests,14,10,1,1,229,3389,237,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests,14,10,1,1,242,3903,254,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests,14,10,1,1,329,4699,341,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests,4,0,1,1,212,3210,224,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests,4,0,1,1,253,3354,265,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests-symflower-fix,14,10,1,1,229,3389,237,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests-symflower-fix,14,10,1,1,242,3903,254,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests-symflower-fix,14,10,1,1,329,4699,341,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests-symflower-fix,4,0,1,1,212,3210,224,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/plain,write-tests-symflower-fix,4,0,1,1,253,3354,265,1,1,1,0
openrouter/alpindale/magnum-72b,java,java/transpile,transpile,239,0,5,5,1780,35392,1875,5,4,5,220
openrouter/alpindale/magnum-72b,java,java/transpile,transpile,240,0,5,5,1713,37766,1773,5,5,5,220
openrouter/alpindale/magnum-72b,java,java/transpile,transpile,240,0,5,5,1713,37795,1773,5,5,5,220
openrouter/alpindale/magnum-72b,java,java/transpile,transpile,240,0,5,5,1780,39566,1840,5,5,5,220
openrouter/alpindale/magnum-72b,java,java/transpile,transpile,240,0,5,5,1902,36455,1958,5,5,5,220
openrouter/alpindale/magnum-72b,java,java/transpile,transpile-symflower-fix,239,0,5,5,1780,35392,1875,5,4,5,220
