model_id,mean,sum,coefficient_of_variation,standard_error,standard_deviation,mean_deviation
openrouter/mistralai/codestral-mamba,4800.8,24004,0.12138961792537648,1303.1072480805253,582.7672777361474,471.03999999999996
openrouter/mistralai/mistral-7b-instruct-v0.3,2677,13385,0.16091334223000434,963.2198606756403,430.76501714972164,336.8
openrouter/mistralai/mistral-large,7103.2,35516,0.07829808696523423,1243.627154737303,556.1669713314518,448.16
openrouter/mistralai/mistral-medium,5990,29950,0.12760593252431995,1709.159881345218,764.3595358206765,574
openrouter/mistralai/mistral-nemo,3743,18715,0.11385759566388307,952.9428104561155,426.1689805699143,320.8
openrouter/mistralai/mistral-small,3969.6,19848,0.08476570891330767,752.4054757908132,336.4859581022661,254.88000000000002
openrouter/mistralai/mistral-tiny,1655.6,8278,0.21007659923889502,777.710743142976,347.80281769991456,285.91999999999996
openrouter/mistralai/mixtral-8x22b-instruct,5761,28805,0.1216237316556083,1566.7554052882665,700.6743180679595,486
openrouter/mistralai/mixtral-8x7b-instruct,5617,28085,0.12157853932839666,1527.025703778427,682.906655407604,549.6
openrouter/neversleep/llama-3-lumimaid-70b,3634.8,18174,0.08269659819813242,672.1298237691881,300.58559513057173,238.56000000000003
openrouter/neversleep/llama-3-lumimaid-8b,2074.2,10371,0.17750273871983754,823.2669676356509,368.176180652687,302.16
openrouter/nousresearch/hermes-2-pro-llama-3-8b,3337.8,16689,0.09078908456623423,677.6086628726052,303.0358064651766,203.68000000000012
openrouter/nousresearch/hermes-2-theta-llama-3-8b,3377.2,16886,0.06986763816350595,527.6158640526269,235.95698760579228,186.16000000000003
openrouter/nousresearch/nous-hermes-2-mixtral-8x7b-dpo,3943.8,19719,0.10357702893128463,913.4048937902621,408.48708669920035,341.36
openrouter/nousresearch/nous-hermes-yi-34b,1573.6,7868,0.30563206413296673,1075.4203829200933,480.94261611963645,370.71999999999997
openrouter/openai/gpt-4-turbo,7576.4,37882,0.03897857650048025,660.3495286588762,295.31728699823856,203.12000000000006
openrouter/openai/gpt-4o,7693,38465,0.024953860619699716,429.25808087909076,191.97004974734992,142.4
openrouter/openai/gpt-4o-mini,7780.2,38901,0.02272615441671356,395.36818283721317,176.81402659291484,128.63999999999996
openrouter/openai/o1-mini,7909.8,39549,0.0307751064623134,544.3147067643864,243.42493709560654,185.43999999999997
openrouter/openai/o1-preview,8053.2,40266,0.020501426716015604,369.1794956386392,165.10208962941687,121.76000000000003
openrouter/openchat/openchat-8b,1049.8,5249,0.18682417547712965,438.5555837063302,196.1280194158907,146.24
openrouter/perplexity/llama-3-sonar-large-32k-chat,6909,34545,0.07225051753838822,1116.1977871327285,499.1788256727242,376
openrouter/perplexity/llama-3-sonar-small-32k-chat,1404.2,7021,0.10252402198322316,321.9138083400586,143.96423166884196,110.16
openrouter/qwen/qwen-110b-chat,2120,10600,0.11766055360220137,557.7656317845336,249.44037363666692,189.2
openrouter/qwen/qwen-2-72b-instruct,4992,24960,0.07359468665519932,821.497108941961,367.384675782755,271.6
openrouter/qwen/qwen-2-7b-instruct,2094.4,10472,0.19174808357769432,897.9986080167386,401.597186245123,260.08000000000004
openrouter/qwen/qwen-72b-chat,5436,27180,0.0924542561995653,1123.806033085781,502.5813367008369,413.6
openrouter/recursal/eagle-7b,0,0,NaN,0,0,0
openrouter/recursal/rwkv-5-3b-ai-town,0,0,NaN,0,0,0
openrouter/rwkv/rwkv-5-world-3b,4,20,0.39528470752104744,3.5355339059327378,1.5811388300841898,1.2
openrouter/teknium/openhermes-2.5-mistral-7b,3135.4,15677,0.09352152394266951,655.6763683403574,293.227386169846,223.11999999999998
openrouter/togethercomputer/stripedhyena-nous-7b,2311,11555,0.11964145839672202,618.253588748177,276.4914103548246,227.6
openrouter/undi95/toppy-m-7b,544.8,2724,0.26279080814008116,320.1343467983403,143.1684322747162,117.75999999999999
openrouter/xwin-lm/xwin-lm-70b,1078,5390,0.12699067336355965,306.1086408450438,136.8959458859173,91.2
